tt123|80000|北京快乐8 |2012-07-13 11:22:23|00513502
12345678|17000|重庆时时彩|2012-07-12 18:52:18|20120712077
12345678|19000|重庆时时彩|2012-07-12 18:41:58|20120712076
12345678|1700|重庆时时彩|2012-07-12 18:31:09|20120712075
12345678|1700|重庆时时彩|2012-07-12 18:31:09|20120712073
12345678|1700|重庆时时彩|2012-07-12 18:31:09|20120712073
445566|2042.4|北京快乐8 |2012-07-12 16:08:14|00513380
445566|1750.6|北京快乐8 |2012-07-12 15:57:32|00513367
445566|2170|重庆时时彩|2012-07-12 15:11:46|20120712055
445566|1830|重庆时时彩|2012-07-11 23:46:36|20120711117
445566|1810|重庆时时彩|2012-07-11 23:46:36|20120711117
445566|1830|重庆时时彩|2012-07-11 23:41:06|20120711116
445566|1830|重庆时时彩|2012-07-11 23:33:58|20120711114
445566|1830|重庆时时彩|2012-07-11 23:26:18|20120711113
12345678|685.65|重庆时时彩|2012-07-11 23:21:17|20120711112
12345678|1880|重庆时时彩|2012-07-11 23:21:17|20120711112
12345678|1840|重庆时时彩|2012-07-11 23:06:14|20120711109
美女守夜|15605|重庆时时彩|2012-07-13 12:31:18|20120713039
天黑地轩|10822|重庆时时彩|2012-07-13 12:31:18|20120713039
天黑地轩|12870|广东11选5 |2012-07-13 12:32:55|2012071321
美女守夜|5803|广东11选5 |2012-07-13 12:32:55|2012071321
时时彩玩家|19433|新疆时时彩|2012-07-13 12:30:02|2012071303
时时彩玩家|19919|广东11选5 |2012-07-13 12:32:55|2012071321
时时彩玩家|12201|广东11选5 |2012-07-13 12:32:55|2012071321
时时彩玩家|10814|新疆时时彩|2012-07-13 12:30:02|2012071303
美女守夜|7167|新疆时时彩|2012-07-13 12:30:02|2012071303
美女守夜|13097|新疆时时彩|2012-07-13 12:30:02|2012071303
美女守夜|12189|广东11选5 |2012-07-13 12:32:55|2012071321
天黑地轩|10321|新疆时时彩|2012-07-13 12:30:02|2012071303
浪子回头|8489|新疆时时彩|2012-07-13 12:30:02|2012071303
